"Web:S1827","MAJOR","mailbbs:mailbbs_admin.html",5,"mailbbs","Remove this deprecated ""link"" attribute.","CODE_SMELL"
"Web:S1827","MAJOR","mailbbs:mailbbs_admin.html",5,"mailbbs","Remove this deprecated ""vlink"" attribute.","CODE_SMELL"
"Web:S1827","MAJOR","mailbbs:mailbbs_admin.html",5,"mailbbs","Remove this deprecated ""alink"" attribute.","CODE_SMELL"
"Web:UnsupportedTagsInHtml5Check","MAJOR","mailbbs:mailbbs_admin.html",6,"mailbbs","Remove this deprecated ""center"" element.","BUG"
"Web:UnsupportedTagsInHtml5Check","MAJOR","mailbbs:mailbbs_admin.html",7,"mailbbs","Remove this deprecated ""font"" element.","BUG"
"Web:BoldAndItalicTagsCheck","MINOR","mailbbs:mailbbs_admin.html",7,"mailbbs","Replace this <b> tag by <strong>.","BUG"
"Web:TableWithoutCaptionCheck","MINOR","mailbbs:mailbbs_admin.html",22,"mailbbs","Add a description to this table.","BUG"
"Web:S5256","MAJOR","mailbbs:mailbbs_admin.html",22,"mailbbs","Add ""<th>"" headers to this ""<table>"".","BUG"
"Web:S1827","MAJOR","mailbbs:mailbbs_admin.html",22,"mailbbs","Remove this deprecated ""cellpadding"" attribute.","CODE_SMELL"
"Web:S1827","MAJOR","mailbbs:mailbbs_admin.html",22,"mailbbs","Remove this deprecated ""cellspacing"" attribute.","CODE_SMELL"
"Web:S1827","MAJOR","mailbbs:mailbbs_admin.html",22,"mailbbs","Remove this deprecated ""bgcolor"" attribute.","CODE_SMELL"
"Web:TableWithoutCaptionCheck","MINOR","mailbbs:mailbbs_admin.html",24,"mailbbs","Add a description to this table.","BUG"
"Web:S5256","MAJOR","mailbbs:mailbbs_admin.html",24,"mailbbs","Add ""<th>"" headers to this ""<table>"".","BUG"
"Web:S1827","MAJOR","mailbbs:mailbbs_admin.html",24,"mailbbs","Remove this deprecated ""cellpadding"" attribute.","CODE_SMELL"
"Web:S1827","MAJOR","mailbbs:mailbbs_admin.html",24,"mailbbs","Remove this deprecated ""cellspacing"" attribute.","CODE_SMELL"
"Web:S1827","MAJOR","mailbbs:mailbbs_admin.html",24,"mailbbs","Remove this deprecated ""width"" attribute.","CODE_SMELL"
"Web:UnsupportedTagsInHtml5Check","MAJOR","mailbbs:mailbbs_admin.html",25,"mailbbs","Remove this deprecated ""font"" element.","BUG"
"Web:S1827","MAJOR","mailbbs:mailbbs_admin.html",27,"mailbbs","Remove this deprecated ""bgcolor"" attribute.","CODE_SMELL"
"Web:UnsupportedTagsInHtml5Check","MAJOR","mailbbs:mailbbs_admin.html",27,"mailbbs","Remove this deprecated ""font"" element.","BUG"
